date,unique_user_reach
2023-08-01,1464
2023-08-02,2735
2023-08-03,3769
2023-08-04,4673
2023-08-05,5460
2023-08-06,6162
2023-08-07,6759
2023-08-08,6765
2023-08-09,6728
2023-08-10,6765
2023-08-11,6773
2023-08-12,6807
2023-08-13,6813
2023-08-14,6765
2023-08-15,6769
2023-08-16,6757
2023-08-17,6725
2023-08-18,6708
2023-08-19,6736
2023-08-20,6762
2023-08-21,6846
2023-08-22,6849
2023-08-23,6788
2023-08-24,6798
2023-08-25,6795
2023-08-26,6786
2023-08-27,6755
2023-08-28,6733
2023-08-29,6777
2023-08-30,6768
2023-08-31,6790
2023-09-01,6786
