Date,Reach
2023-08-01,1464
2023-08-02,1512
2023-08-03,1420
2023-08-04,1457
2023-08-05,1475
2023-08-06,1503
2023-08-07,1511
2023-08-08,1510
2023-08-09,1498
2023-08-10,1581
2023-08-11,1481
2023-08-12,1507
2023-08-13,1415
2023-08-14,1412
2023-08-15,1499
2023-08-16,1508
2023-08-17,1500
2023-08-18,1474
2023-08-19,1515
2023-08-20,1475
2023-08-21,1495
2023-08-22,1533
2023-08-23,1451
2023-08-24,1515
2023-08-25,1484
2023-08-26,1405
2023-08-27,1517
2023-08-28,1473
2023-08-29,1510
2023-08-30,1490
2023-08-31,1515
2023-09-01,1496
